,Gender,Mobile_Verified,Filled_Form,Device_Type,Var5
0,0,0,1,0,0
1,1,1,1,1,1
2,0,0,1,0,0
3,1,1,1,1,1
4,1,1,1,1,1
5,0,0,0,1,0
6,0,0,0,1,0
7,0,0,0,1,0
8,1,1,1,1,0
9,1,1,1,1,1
10,0,0,0,0,0
11,0,0,0,1,0
12,1,0,0,0,0
13,0,0,0,1,0
14,0,0,1,1,1
15,0,0,1,1,0
16,0,0,1,0,0
17,1,1,1,1,0
18,1,1,1,1,0
19,1,1,1,1,1
20,0,0,1,1,0
21,0,0,1,1,1
22,1,1,1,1,1
23,1,1,1,1,1
24,1,0,1,1,1
25,0,0,1,1,0
26,1,1,1,1,1
27,1,1,1,1,1
28,1,1,1,1,1
29,1,1,1,1,1
30,0,0,1,1,0
31,0,0,1,1,0
32,1,1,1,1,1
33,1,1,1,1,0
34,0,0,1,0,0
35,1,0,0,0,0
36,1,1,1,1,1
37,0,0,1,1,0
38,1,1,1,1,1
39,0,0,0,1,0
40,1,1,1,0,1
41,1,0,0,0,0
42,1,1,1,1,1
43,1,1,1,1,1
44,0,0,0,0,0
45,0,0,1,1,0
46,1,0,0,1,0
47,1,1,1,1,1
48,0,0,1,1,0
49,0,0,1,1,0
50,1,0,0,1,0
51,0,0,1,0,0
52,0,0,1,1,0
53,1,1,1,0,1
54,1,1,1,1,1
55,0,0,1,1,0
56,0,0,1,1,0
57,0,0,1,1,0
58,1,1,1,1,1
59,1,1,1,1,1
60,0,0,1,0,0
61,1,1,1,1,0
62,0,0,1,1,1
63,1,0,1,1,0
64,0,0,1,1,0
65,1,1,1,1,1
66,1,1,1,1,1
67,0,0,1,1,1
68,0,0,0,1,0
69,0,0,1,1,0
70,0,0,1,1,1
71,1,1,1,1,1
72,0,0,0,1,0
73,1,1,1,0,1
74,0,0,0,0,0
75,0,0,1,0,0
76,1,1,1,1,1
77,0,0,0,0,0
78,1,1,1,1,1
79,1,1,1,0,1
80,0,0,1,1,0
81,0,0,1,1,0
82,1,1,1,1,1
83,1,0,0,1,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,1,0
87,1,1,1,1,1
88,0,0,0,1,0
89,0,0,0,1,0
90,1,1,1,1,1
91,0,0,1,1,0
92,0,0,0,0,0
93,1,1,1,1,1
94,0,0,1,1,0
95,0,0,1,1,0
96,0,0,1,0,0
97,1,1,1,1,1
98,1,1,1,1,1
99,0,0,1,1,0
100,0,0,0,1,0
101,1,1,1,1,1
102,1,1,1,0,1
103,1,0,0,1,0
104,0,0,1,1,0
105,0,0,0,1,0
106,1,0,1,1,0
107,0,0,1,1,0
108,0,0,0,0,0
109,0,0,1,1,1
110,0,0,0,1,0
111,0,0,0,0,0
112,0,0,1,1,0
113,1,1,1,1,1
114,1,1,1,1,0
115,0,0,0,0,0
116,1,1,1,1,1
117,0,0,1,1,0
118,1,0,0,1,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,1,0,0
122,1,1,1,1,1
123,1,1,1,1,1
124,0,0,1,1,0
125,0,0,1,1,0
126,0,0,1,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,1,1,0
130,0,0,0,1,0
131,0,0,0,0,0
132,0,0,0,0,0
133,1,0,1,1,0
134,1,1,1,1,1
135,0,0,1,1,1
136,0,0,1,1,0
137,1,1,1,1,1
138,1,1,1,1,1
139,0,0,1,1,0
140,0,0,1,0,0
141,1,1,1,1,1
142,0,0,1,1,0
143,1,1,1,1,0
144,1,1,1,1,1
145,0,0,1,1,0
146,1,1,1,1,1
147,1,0,1,1,0
148,0,0,1,1,0
149,0,0,1,1,1
150,0,0,1,1,1
151,1,1,1,0,1
152,1,1,1,1,0
153,0,0,1,1,1
154,1,1,1,1,1
155,0,0,1,0,0
156,1,1,1,1,1
157,0,0,1,1,1
158,0,0,1,1,0
159,0,0,1,0,0
160,1,1,1,1,1
161,1,1,1,1,1
162,1,1,1,1,0
163,1,1,1,1,1
164,1,1,1,0,1
165,0,0,1,1,0
166,1,1,1,1,1
167,0,0,1,1,1
168,0,0,1,1,0
169,0,0,1,1,0
170,0,0,1,0,0
171,1,0,0,0,0
172,1,0,0,0,0
173,1,1,1,1,1
174,0,0,1,1,0
175,1,1,1,1,1
176,0,0,0,1,0
177,0,0,1,1,0
178,1,1,1,1,1
179,0,0,1,1,1
180,0,0,0,0,0
181,1,0,1,1,0
182,0,0,0,1,0
183,0,0,0,0,0
184,0,0,0,0,0
185,1,1,1,1,0
186,1,1,1,0,1
187,0,0,1,1,0
188,1,1,1,1,1
189,0,0,1,1,0
190,0,0,1,1,0
191,0,0,1,1,1
192,0,0,1,1,1
193,1,1,1,1,0
194,1,1,1,1,1
195,1,0,1,0,0
196,1,1,1,1,1
197,0,0,1,1,0
198,0,0,0,0,0
199,0,0,1,0,0
200,1,1,1,0,1
201,0,0,1,1,0
202,1,1,1,1,1
203,0,0,0,1,0
204,1,1,1,1,0
205,0,0,1,0,0
206,0,0,1,0,0
207,0,0,1,1,0
208,1,1,1,1,1
209,0,0,0,0,0
210,0,0,0,1,0
211,1,1,1,0,1
212,1,0,1,1,0
213,1,1,1,1,1
214,1,1,1,1,1
215,1,0,1,1,0
216,1,1,1,1,1
217,0,0,1,1,1
218,0,0,0,0,0
219,0,0,1,0,0
220,0,0,1,1,1
221,1,1,1,0,1
222,1,1,1,1,0
223,1,1,1,0,1
224,0,0,1,1,0
225,0,0,1,1,0
226,0,0,1,1,0
227,0,0,1,1,0
228,0,0,0,1,0
229,0,0,1,0,0
230,1,1,1,1,1
231,1,0,1,0,0
232,1,1,1,1,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,1,1,0
236,0,0,0,1,0
237,1,1,1,0,1
238,0,0,1,1,0
239,0,0,0,1,0
240,0,0,1,1,0
241,0,0,0,1,0
242,0,0,1,1,0
243,0,0,1,1,1
244,0,0,0,0,0
245,1,0,0,0,0
246,0,0,1,0,0
247,1,1,1,1,1
248,0,0,0,1,0
249,1,0,1,1,0
250,0,0,0,0,0
251,0,0,1,1,1
252,0,0,1,1,0
253,0,0,0,0,0
254,1,1,1,1,1
255,1,1,1,1,0
256,0,0,1,1,0
257,1,1,1,0,1
258,0,0,1,0,0
259,1,0,1,1,0
260,1,1,1,1,1
261,1,1,1,1,0
262,1,1,1,1,1
263,0,0,1,1,0
264,0,0,1,1,0
265,1,1,1,1,1
266,1,1,1,0,1
267,1,1,1,1,1
268,1,1,1,1,1
269,1,0,1,0,0
270,0,0,0,0,0
271,0,0,1,1,0
272,0,0,0,1,0
273,0,0,1,1,1
274,0,0,1,1,0
275,0,0,1,1,0
276,1,1,1,1,0
277,0,0,1,1,0
278,0,0,1,1,0
279,0,0,1,0,0
280,1,1,1,1,0
281,1,1,1,1,1
282,0,0,1,1,0
283,0,0,1,1,0
284,0,0,1,1,0
285,1,1,1,1,1
286,0,0,1,0,0
287,0,0,1,1,0
288,1,1,1,1,0
289,1,0,1,1,0
290,0,0,1,1,0
291,0,0,1,0,0
292,1,1,1,1,1
293,1,1,1,1,1
294,1,1,1,1,1
295,0,0,1,0,0
296,1,1,1,1,0
297,1,1,1,1,1
298,0,0,1,1,1
299,0,0,1,1,0
300,0,0,1,1,1
301,0,0,0,0,0
302,0,0,1,1,0
303,0,0,0,1,0
304,0,0,1,1,0
305,0,0,1,1,0
306,0,0,0,0,0
307,1,1,1,1,1
308,1,1,1,1,0
309,0,0,1,1,0
310,1,1,1,1,1
311,0,0,1,1,0
312,1,1,1,1,1
313,1,1,1,1,0
314,1,1,1,1,1
315,1,1,1,0,1
316,0,0,1,1,0
317,0,0,1,1,0
318,1,1,1,1,1
319,0,0,0,0,0
320,0,0,1,1,0
321,1,1,1,1,1
322,1,1,1,1,0
323,1,1,1,0,1
324,0,0,0,1,0
325,0,0,1,1,0
326,1,0,1,1,0
327,0,0,0,0,0
328,1,1,1,0,1
329,1,1,1,0,1
330,0,0,1,1,0
331,0,0,1,1,0
332,1,1,1,1,1
333,0,0,0,1,0
334,1,0,1,1,0
335,0,0,1,1,0
336,0,0,1,0,0
337,1,1,1,1,1
338,1,0,0,0,0
339,0,0,0,0,0
340,0,0,0,1,0
341,0,0,1,0,0
342,0,0,1,0,0
343,1,1,1,1,0
344,1,1,1,1,1
345,0,0,1,1,0
346,0,0,1,1,0
347,0,0,1,1,0
348,0,0,0,0,0
349,0,0,1,1,0
350,0,0,1,1,0
351,0,0,1,1,0
352,0,0,1,1,1
353,1,1,1,0,1
354,1,1,1,1,1
355,1,1,1,1,0
356,0,0,1,1,0
357,0,0,0,0,0
358,1,0,1,1,1
359,0,0,0,1,0
360,0,0,1,0,0
361,0,0,1,1,0
362,0,0,1,1,0
363,0,0,0,1,0
364,1,1,1,1,0
365,1,1,1,1,1
366,1,1,1,0,1
367,0,0,0,1,0
368,1,1,1,1,1
369,0,0,1,1,1
370,0,0,1,1,0
371,1,1,1,1,1
372,1,1,1,1,1
373,1,0,1,1,0
374,0,0,0,0,0
375,1,1,1,0,1
376,0,0,1,1,0
377,0,0,0,1,0
378,0,0,1,1,0
379,0,0,0,1,0
380,1,1,1,1,1
381,0,0,0,0,0
382,0,0,0,0,0
383,1,1,1,1,1
384,1,1,1,1,1
385,0,0,1,0,0
386,0,0,1,1,1
387,0,0,1,1,0
388,0,0,1,1,0
389,1,1,1,1,1
390,0,0,0,0,0
391,1,1,1,1,1
392,1,1,1,0,1
393,1,1,1,1,1
394,0,0,1,1,0
395,0,0,1,1,0
396,1,1,1,1,1
397,0,0,1,0,0
398,1,1,1,1,1
399,0,0,1,1,0
400,0,0,1,1,0
401,0,0,0,1,0
402,1,1,1,1,1
403,1,1,1,1,1
404,0,0,1,1,0
405,0,0,1,1,0
406,1,1,1,1,0
407,1,0,1,0,0
408,0,0,1,1,0
409,1,1,1,1,0
410,1,1,1,1,0
411,0,0,1,1,0
412,1,1,1,0,1
413,0,0,0,0,0
414,0,0,1,0,0
415,0,0,0,1,0
416,0,0,0,0,0
417,0,0,1,0,0
418,0,0,1,1,0
419,1,1,1,0,1
420,1,1,1,1,1
421,1,1,1,0,1
422,0,0,0,0,0
423,0,0,1,1,1
424,0,0,0,0,0
425,0,0,0,0,0
426,0,0,1,1,0
427,1,1,1,0,1
428,1,0,0,0,0
429,0,0,1,0,0
430,1,1,1,1,1
431,0,0,0,1,0
432,0,0,1,1,0
433,0,0,1,1,0
434,1,1,1,1,1
435,1,0,0,1,0
436,0,0,0,0,0
437,0,0,1,0,0
438,0,0,0,0,0
439,1,1,1,1,0
440,1,1,1,0,1
441,1,1,1,1,1
442,0,0,1,1,0
443,1,1,1,1,0
444,1,1,1,1,1
445,1,1,1,1,1
446,0,0,1,1,0
447,0,0,0,1,0
448,0,0,0,1,0
449,0,0,1,0,0
450,1,1,1,1,0
451,0,0,1,1,0
452,0,0,1,1,0
453,1,1,1,1,1
454,0,0,1,1,0
455,0,0,1,1,0
456,1,1,1,1,0
457,0,0,1,1,0
458,1,1,1,1,0
459,1,1,1,1,1
460,1,1,1,0,1
461,0,0,1,1,0
462,1,1,1,1,1
463,1,1,1,1,0
464,0,0,1,1,1
465,1,1,1,1,1
466,0,0,1,1,1
467,0,0,1,0,0
468,0,0,1,1,1
469,0,0,1,1,0
470,1,1,1,1,1
471,0,0,0,0,0
472,1,1,1,1,1
473,1,1,1,1,1
474,0,0,0,1,0
475,0,0,0,1,0
476,0,0,1,1,0
477,0,0,1,1,0
478,1,0,1,1,0
479,1,1,1,1,0
480,1,1,1,0,1
481,1,1,1,0,1
482,0,0,1,0,0
483,0,0,1,1,0
484,1,1,1,0,1
485,0,0,1,0,0
486,0,0,1,1,0
487,1,0,0,1,0
488,0,0,1,1,1
489,0,0,1,0,0
490,0,0,1,1,1
491,0,0,0,1,0
492,1,1,1,1,0
493,0,0,1,1,0
494,0,0,1,1,0
495,0,0,1,1,0
496,0,0,1,0,0
497,0,0,1,1,0
498,1,1,1,0,1
499,0,0,1,0,0
500,0,0,1,1,0
501,0,0,0,0,0
502,1,1,1,1,1
503,0,0,0,0,0
504,0,0,1,0,0
505,0,0,0,1,0
506,1,1,1,1,1
507,1,1,1,1,1
508,0,0,0,1,0
509,1,0,0,1,0
510,0,0,0,0,0
511,1,1,1,1,1
512,1,1,1,1,1
513,1,1,1,1,1
514,1,0,1,0,0
515,1,1,1,0,1
516,1,1,1,1,1
517,0,0,1,1,0
518,1,1,1,1,0
519,1,1,1,1,1
520,0,0,1,1,0
521,1,1,1,1,1
522,0,0,1,1,0
523,0,0,1,0,0
524,0,0,1,1,0
525,1,1,1,1,1
526,0,0,1,1,0
527,0,0,1,1,0
528,0,0,0,1,0
529,1,1,1,1,0
530,1,1,1,1,1
531,1,1,1,1,1
532,0,0,1,0,0
533,1,1,1,1,1
534,0,0,0,1,0
535,0,0,1,0,0
536,0,0,1,1,1
537,1,1,1,1,1
538,1,0,1,0,0
539,1,1,1,1,0
540,1,1,1,0,1
541,0,0,1,1,0
542,0,0,0,0,0
543,1,0,0,1,0
544,1,1,1,1,1
545,1,1,1,1,1
546,0,0,1,1,0
547,1,1,1,0,1
548,0,0,0,1,0
549,1,1,1,0,1
550,0,0,0,1,0
551,0,0,1,0,0
552,0,0,0,0,0
553,0,0,0,1,0
554,0,0,1,0,0
555,1,1,1,1,1
556,1,1,1,0,1
557,1,1,1,1,0
558,1,1,1,0,1
559,0,0,1,1,1
560,0,0,1,1,1
561,0,0,1,1,0
562,0,0,0,0,0
563,1,1,1,1,1
564,1,1,1,1,1
565,1,1,1,1,1
566,1,1,1,1,0
567,0,0,0,0,0
568,0,0,1,1,0
