,Age
0,26.0
1,34.0
2,39.0
3,23.0
4,30.0
5,27.0
6,29.0
7,28.0
8,29.0
9,32.0
10,26.0
11,23.0
12,22.0
13,29.0
14,26.0
15,32.0
16,30.0
17,23.0
18,32.0
19,26.0
20,29.0
21,31.0
22,31.0
23,35.0
24,34.0
25,27.0
26,31.0
27,45.0
28,20.0
29,41.0
30,45.0
31,30.0
32,24.0
33,26.0
34,32.0
35,31.0
36,30.0
37,27.0
38,27.0
39,38.0
40,28.0
41,26.0
42,33.0
43,42.0
44,38.0
45,35.0
46,33.0
47,35.0
48,30.0
49,25.0
50,25.0
51,22.0
52,24.0
53,21.0
54,29.0
55,34.0
56,25.0
57,46.0
58,26.0
59,35.0
60,30.0
61,28.0
62,24.0
63,30.0
64,29.0
65,31.0
66,33.0
67,40.0
68,24.0
69,32.0
70,26.0
71,29.0
72,27.0
73,29.0
74,55.0
75,26.0
76,20.0
77,30.0
78,27.0
79,24.0
80,26.0
81,30.0
82,40.0
83,42.0
84,29.0
85,22.0
86,31.0
87,34.0
88,47.0
89,27.0
90,32.0
91,31.0
92,27.0
93,21.0
94,26.0
95,22.0
96,29.0
97,30.0
98,27.0
99,61.0
100,41.0
101,28.0
102,41.0
103,31.0
104,28.0
105,40.0
106,50.0
107,43.0
108,35.0
109,31.0
110,23.0
111,41.0
112,35.0
113,56.0
114,30.0
115,36.0
116,27.0
117,24.0
118,29.0
119,26.0
120,34.0
121,30.0
122,32.0
123,34.0
124,25.0
125,27.0
126,30.0
127,25.0
128,31.0
129,31.0
130,39.0
131,30.0
132,31.0
133,35.0
134,23.0
135,30.0
136,32.0
137,31.0
138,31.0
139,26.0
140,33.0
141,28.0
142,34.0
143,36.0
144,29.0
145,34.0
146,32.0
147,35.0
148,31.0
149,29.0
150,38.0
151,27.0
152,30.0
153,31.0
154,28.0
155,27.0
156,26.0
157,39.0
158,32.0
159,33.0
160,31.0
161,28.0
162,26.0
163,36.0
164,27.0
165,22.0
166,38.0
167,27.0
168,31.0
169,29.0
170,28.0
171,40.0
172,43.0
173,33.0
174,31.0
175,22.0
176,29.0
177,46.0
178,39.0
179,36.0
180,26.0
181,27.0
182,39.0
183,26.0
184,36.0
185,38.0
186,28.0
187,25.0
188,30.0
189,54.0
190,26.0
191,26.0
192,34.0
193,37.0
194,34.0
195,37.0
196,40.0
197,33.0
198,32.0
199,23.0
200,25.0
201,36.0
202,45.0
203,39.0
204,46.0
205,27.0
206,39.0
207,32.0
208,46.0
209,27.0
210,32.0
211,25.0
212,27.0
213,24.0
214,23.0
215,38.0
216,28.0
217,27.0
218,23.0
219,23.0
220,22.0
221,23.0
222,28.0
223,22.0
224,29.0
225,35.0
226,37.0
227,25.0
228,32.0
229,28.0
230,27.0
231,33.0
232,29.0
233,31.0
234,27.0
235,39.0
236,32.0
237,24.0
238,26.0
239,34.0
240,31.0
241,35.0
242,38.0
243,37.0
244,39.0
245,29.0
246,27.0
247,23.0
248,29.0
249,27.0
250,32.0
251,36.0
252,35.0
253,27.0
254,33.0
255,46.0
256,27.0
257,25.0
258,26.0
259,31.0
260,24.0
261,30.0
262,30.0
263,28.0
264,38.0
265,32.0
266,25.0
267,24.0
268,26.0
269,30.0
270,31.0
271,49.0
272,33.0
273,26.0
274,33.0
275,30.0
276,27.0
277,33.0
278,53.0
279,31.0
280,27.0
281,22.0
282,31.0
283,30.0
284,27.0
285,28.0
286,32.0
287,34.0
288,29.0
289,24.0
290,47.0
291,29.0
292,45.0
293,46.0
294,23.0
295,44.0
296,25.0
297,30.0
298,29.0
299,27.0
300,35.0
301,37.0
302,44.0
303,32.0
304,24.0
305,32.0
306,27.0
307,22.0
308,41.0
309,27.0
310,27.0
311,20.0
312,29.0
313,28.0
314,27.0
315,26.0
316,41.0
317,36.0
318,36.0
319,27.0
320,31.0
321,33.0
322,32.0
323,31.0
324,30.0
325,32.0
326,27.0
327,26.0
328,28.0
329,20.0
330,27.0
331,32.0
332,26.0
333,26.0
334,23.0
335,23.0
336,34.0
337,32.0
338,34.0
339,32.0
340,25.0
341,28.0
342,37.0
