,Monthly_Income
0,30000.0
1,95000.0
2,25000.0
3,40000.0
4,16000.0
5,22000.0
6,25500.0
7,19950.0
8,34000.0
9,12291.0
10,18000.0
11,17000.0
12,13000.0
13,50000.0
14,25000.0
15,60000.0
16,27000.0
17,80000.0
18,20200.0
19,14000.0
20,20500.0
21,11500.0
22,16000.0
23,19500.0
24,95000.0
25,19000.0
26,12000.0
27,15000.0
28,14500.0
29,15000.0
30,70000.0
31,40000.0
32,23000.0
33,26000.0
34,16000.0
35,18000.0
36,12000.0
37,18100.0
38,19173.0
39,45000.0
40,11500.0
41,22000.0
42,10500.0
43,95000.0
44,50000.0
45,72000.0
46,64248.0
47,9000.0
48,25000.0
49,26000.0
50,24000.0
51,15000.0
52,20500.0
53,11500.0
54,45000.0
55,45000.0
56,25000.0
57,58815.0
58,11500.0
59,5500.0
60,18200.0
61,44450.0
62,58333.0
63,31500.0
64,34000.0
65,22000.0
66,16500.0
67,24000.0
68,30000.0
69,20000.0
70,25000.0
71,17962.0
72,95000.0
73,2500.0
74,20000.0
75,19000.0
76,58500.0
77,26125.0
78,95000.0
79,14000.0
80,20109.0
81,22000.0
82,27500.0
83,28000.0
84,41325.0
85,25000.0
86,95000.0
87,15000.0
88,16000.0
89,30000.0
90,34000.0
91,32000.0
92,20000.0
93,10000.0
94,70000.0
95,15050.0
96,48000.0
97,22000.0
98,17100.0
99,20000.0
100,55000.0
101,30000.0
102,14000.0
103,18000.0
104,20000.0
105,18000.0
106,49300.0
107,50000.0
108,35000.0
109,25000.0
110,14000.0
111,27000.0
112,14000.0
113,10000.0
114,25000.0
115,30000.0
116,15000.0
117,50000.0
118,22000.0
119,18000.0
120,95000.0
121,35000.0
122,13000.0
123,29500.0
124,40000.0
125,60000.0
126,33700.0
127,20000.0
128,25000.0
129,35000.0
130,19650.0
131,15000.0
132,23000.0
133,50000.0
134,16000.0
135,41667.0
136,23000.0
137,15000.0
138,24500.0
139,12000.0
140,22000.0
141,18000.0
142,47773.0
143,75000.0
144,15000.0
145,80000.0
146,44000.0
147,80000.0
148,28700.0
149,58333.0
150,75000.0
151,16000.0
152,40000.0
153,8333.0
154,22000.0
155,16000.0
156,10000.0
157,25000.0
158,40000.0
159,22000.0
160,55000.0
161,23000.0
162,50000.0
163,7800.0
164,15000.0
165,11700.0
166,10000.0
167,25000.0
168,34000.0
169,15000.0
170,33000.0
171,50000.0
172,39000.0
173,50500.0
174,13000.0
175,16000.0
176,30000.0
177,26000.0
178,71000.0
179,25000.0
180,24000.0
181,46000.0
182,15000.0
183,16300.0
184,24232.0
185,37000.0
186,12000.0
187,26344.0
188,18000.0
189,35000.0
190,25000.0
191,25000.0
192,25000.0
193,32000.0
194,10500.0
195,95000.0
196,50000.0
197,29000.0
198,25000.0
199,25000.0
200,25000.0
201,50000.0
202,13000.0
203,63000.0
204,72000.0
205,40000.0
206,18000.0
207,50000.0
208,11880.0
209,50000.0
210,25000.0
211,11000.0
212,28000.0
213,13000.0
214,8000.0
215,25000.0
216,15000.0
217,20000.0
218,15777.0
219,25000.0
220,25000.0
221,13974.0
222,65000.0
223,12000.0
224,30000.0
225,95000.0
226,19000.0
227,18000.0
228,20000.0
229,30000.0
230,16000.0
231,43000.0
232,20100.0
233,30000.0
234,27000.0
235,17100.0
236,19100.0
237,14200.0
238,31000.0
239,18048.0
240,95000.0
241,31213.0
242,50000.0
243,25000.0
244,22000.0
245,40000.0
246,21500.0
247,10500.0
248,18200.0
249,25000.0
250,15000.0
251,25000.0
252,57000.0
253,30000.0
254,16000.0
255,15000.0
256,34000.0
257,8000.0
258,18500.0
259,29000.0
260,24000.0
261,23000.0
262,17500.0
263,30000.0
264,45000.0
265,18000.0
266,15000.0
267,10000.0
268,22000.0
269,13200.0
270,18600.0
271,25000.0
272,95000.0
273,25000.0
274,15000.0
275,19200.0
276,17400.0
277,34000.0
278,66000.0
279,25000.0
280,35000.0
281,11500.0
282,24720.0
283,95000.0
284,25000.0
285,21000.0
286,26500.0
287,32000.0
288,25000.0
289,30000.0
290,35500.0
291,14500.0
292,13000.0
293,95000.0
294,13000.0
295,50000.0
296,24000.0
297,18000.0
298,2200.0
299,20000.0
300,41667.0
301,95000.0
302,14000.0
303,53000.0
304,56000.0
305,33000.0
306,25000.0
307,10000.0
308,25000.0
309,18000.0
310,13300.0
311,84000.0
312,11600.0
313,81500.0
314,12000.0
315,11800.0
316,35000.0
317,60000.0
318,20000.0
319,28000.0
320,33500.0
321,20000.0
322,19000.0
323,8100.0
324,20259.0
325,90000.0
326,95000.0
327,40000.0
328,7500.0
329,10000.0
330,14300.0
331,20000.0
332,10000.0
333,70000.0
334,17791.0
335,13500.0
336,33000.0
337,28000.0
338,25000.0
339,30000.0
340,45000.0
341,19500.0
342,18000.0
343,16000.0
344,15000.0
345,20000.0
346,25000.0
347,35500.0
348,20000.0
349,55000.0
350,33000.0
351,95000.0
352,25000.0
353,14000.0
354,25000.0
355,22000.0
356,60000.0
357,17000.0
358,14000.0
359,95000.0
360,30000.0
361,60000.0
362,25546.0
363,13800.0
364,58333.0
365,11500.0
366,9000.0
367,23000.0
368,51000.0
369,25000.0
370,23677.0
371,13000.0
372,20000.0
373,18500.0
374,19000.0
375,10000.0
376,12000.0
377,19500.0
378,16700.0
379,18000.0
380,10000.0
381,19000.0
382,25000.0
383,22835.0
384,9010.0
385,23000.0
386,25000.0
387,20000.0
388,53000.0
389,15000.0
390,25000.0
391,10000.0
392,1292.0
393,13899.0
394,26000.0
395,50000.0
396,75000.0
397,38200.0
398,13000.0
399,25000.0
400,34000.0
401,15000.0
402,42700.0
403,35000.0
404,22000.0
405,95000.0
406,75000.0
407,50000.0
408,10000.0
409,95000.0
410,31500.0
411,14000.0
412,10800.0
413,21000.0
414,18000.0
415,21000.0
416,22000.0
417,16000.0
418,36000.0
419,18000.0
420,10000.0
421,15000.0
422,18000.0
423,25000.0
424,13500.0
425,20000.0
426,22000.0
427,12000.0
428,15000.0
429,45000.0
430,11000.0
431,45000.0
432,35700.0
433,47217.0
434,48000.0
435,32000.0
436,42000.0
437,26000.0
438,15000.0
439,37300.0
440,3333.0
441,14270.0
442,50000.0
443,47000.0
444,17000.0
445,10000.0
446,24000.0
447,20000.0
448,25000.0
449,50000.0
450,40000.0
451,44000.0
452,18000.0
453,9880.0
454,72000.0
455,47000.0
456,28000.0
457,30500.0
458,52000.0
459,13500.0
460,8000.0
461,25000.0
462,12500.0
463,23000.0
464,25000.0
465,11300.0
466,25000.0
467,30000.0
468,25000.0
469,95000.0
470,24800.0
471,12500.0
472,14000.0
473,10000.0
474,54000.0
475,22000.0
476,40000.0
477,17000.0
478,23000.0
479,20000.0
480,17850.0
481,10500.0
482,35000.0
483,19800.0
484,13000.0
485,25000.0
486,40000.0
487,25000.0
488,25000.0
489,30000.0
490,41667.0
491,50000.0
492,16000.0
493,23000.0
494,56000.0
495,95000.0
496,60000.0
497,27000.0
498,14000.0
499,20000.0
500,22000.0
501,16000.0
502,10000.0
503,25000.0
504,26000.0
505,22000.0
506,10000.0
507,11500.0
508,50000.0
509,24000.0
510,36000.0
511,18000.0
512,15500.0
513,6500.0
514,20000.0
515,17500.0
516,17000.0
517,37000.0
518,50000.0
519,18000.0
520,20000.0
521,16500.0
522,30000.0
523,21000.0
524,28000.0
525,12771.0
526,13000.0
527,24000.0
528,65000.0
529,32500.0
530,11500.0
531,10000.0
532,28000.0
533,13657.0
534,26000.0
535,20000.0
536,25000.0
537,24235.0
538,38000.0
539,16800.0
540,15000.0
541,25000.0
542,18600.0
543,50000.0
544,7500.0
545,95000.0
546,70000.0
547,17900.0
548,30750.0
549,11500.0
550,56000.0
551,21000.0
552,40000.0
553,54000.0
554,15300.0
555,17036.0
556,14400.0
557,28720.0
558,9000.0
559,25000.0
560,41667.0
561,30000.0
562,31000.0
563,35000.0
564,17000.0
565,7000.0
566,95000.0
567,20000.0
568,35460.0
569,9000.0
570,25000.0
571,20000.0
572,35827.0
573,23000.0
574,0.0
575,10000.0
576,20000.0
577,30000.0
578,85000.0
579,19000.0
580,50000.0
581,18000.0
582,55000.0
583,17000.0
584,25000.0
585,30000.0
586,49000.0
587,20000.0
588,20000.0
589,12000.0
590,23000.0
591,95000.0
592,49000.0
593,62000.0
594,85000.0
595,11000.0
596,25000.0
597,39000.0
598,20000.0
599,12000.0
600,33000.0
601,30000.0
602,95000.0
603,40000.0
604,25000.0
605,24570.0
606,35600.0
607,18000.0
608,42000.0
609,50574.0
610,28000.0
611,20500.0
612,25000.0
613,25000.0
614,23500.0
615,21000.0
616,13500.0
617,14000.0
618,75000.0
619,25000.0
620,26471.0
621,24000.0
622,95000.0
623,24000.0
624,15000.0
625,20500.0
626,21000.0
627,24000.0
628,10410.0
629,19000.0
630,29000.0
631,15000.0
632,27000.0
633,17990.0
634,14873.0
635,35000.0
636,41667.0
637,25000.0
638,41000.0
639,42500.0
640,41667.0
641,6500.0
642,35000.0
643,50000.0
644,30000.0
645,29700.0
646,20000.0
647,15000.0
648,14000.0
649,20865.0
650,34384.0
651,20000.0
652,25000.0
653,14000.0
654,8500.0
655,65000.0
656,55000.0
